title,platform,genre,metascore,userscore,rating,developer
#IDARB,Xbox One,Action,77,7.2,E,Other Ocean Interactive
#KILLALLZOMBIES,Xbox One,Action,53,tbd,T,Beatshapers
10 Second Ninja X,Xbox One,Action,82,5.1,T,GameDesignDan
1001 Spikes,Xbox One,Action,No score yet,4.9,T,Nicalis
101 Ways to Die,Xbox One,Action,71,tbd,T,4 Door Lemon
6180 the Moon,Xbox One,Action,No score yet,7.5,E,Turtle Cream
7 Days to Die,Xbox One,Action,35,5.4,M,The Fun Pimps Entertainment LLC
A Boy and His Blob,Xbox One,Action,66,tbd,E,Abstraction Games
Aaru's Awakening,Xbox One,Action,No score yet,0.4,E,Lumenox ehf
Action Henk,Xbox One,Action,72,tbd,E,RageSquid
Action News Heroes,Xbox One,Action,49,8.1,T,Krewe Studios
Active Soccer 2 DX,Xbox One,Action,53,6.9,E,The Fox Software
Adam's Venture: Origins,Xbox One,Adventure,48,6.2,E10+,Vertigo Games
Adventure Time: Finn and Jake Investigations,Xbox One,Adventure,66,5.3,E10+,Vicious Cycle
Agatha Christie's The ABC Murders,Xbox One,Adventure,66,7.3,,Microids
AIPD - Artificial Intelligence Police Department,Xbox One,Action,70,tbd,E10+,Blazing Badger
AirMech Arena,Xbox One,Simulation,No score yet,4.4,E10+,Carbon Games
Albedo: Eyes from Outer Space,Xbox One,Action Adventure,55,tbd,T,Z4g0 and Ivan Venturi Productions
Alekhine's Gun,Xbox One,Action Adventure,33,2.5,M,Maximum Games
Alien: Isolation,Xbox One,Action Adventure,78,7.8,M,Creative Assembly
Amazing Princess Sarah,Xbox One,Action,72,tbd,T,Haruneko
Among the Sleep,Xbox One,Adventure,62,tbd,T,Krillbite Studio
Anarcute,Xbox One,Action,74,tbd,E10+,Anarteam
Angry Birds Star Wars,Xbox One,Strategy,53,6.9,E,Exient Entertainment
Anima: Gate of Memories,Xbox One,Role-Playing,72,8.1,T,Anima Project
Anode,Xbox One,Puzzle,73,tbd,E,Kittehface Software
Another World: 20th Anniversary Edition,Xbox One,Action,65,4.0,T,The Digital Lounge
APB: Reloaded,Xbox One,Massively Multiplayer Online,No score yet,4.6,M,The Workshop
Armello,Xbox One,Miscellaneous,80,8.5,E10+,League of Geeks
Armikrog,Xbox One,Adventure,61,tbd,E10+,Versus Evil
Arslan: The Warriors of Legend,Xbox One,General,No score yet,5.8,T,Omega Force
"Assassin's Creed Triple Pack: Black Flag, Unity, Syndicate",Xbox One,Miscellaneous,No score yet,9.8,,
Assassin's Creed Chronicles,Xbox One,Miscellaneous,No score yet,6.8,T,Climax Studios
