title,platform,genre,metascore,userscore,rating,developer
#IDARB,Xbox One,Action,77,7.2,E,Other Ocean Interactive
#KILLALLZOMBIES,Xbox One,Action,53,tbd,T,Beatshapers
10 Second Ninja X,Xbox One,Action,82,5.1,T,GameDesignDan
1001 Spikes,Xbox One,Action,No score yet,4.9,T,Nicalis
101 Ways to Die,Xbox One,Action,71,tbd,T,4 Door Lemon
140,Xbox One,Action,No score yet,tbd,E,Jeppe Carlsen
6180 the Moon,Xbox One,Action,No score yet,7.5,E,Turtle Cream
7 Days to Die,Xbox One,Action,35,5.4,M,The Fun Pimps Entertainment LLC
A Boy and His Blob,Xbox One,Action,66,tbd,E,Abstraction Games
A King's Tale: Final Fantasy XV,Xbox One,Action,No score yet,,,Square Enix
Aaru's Awakening,Xbox One,Action,No score yet,0.4,E,Lumenox ehf
Action Henk,Xbox One,Action,72,tbd,E,RageSquid
Action News Heroes,Xbox One,Action,49,8.1,T,Krewe Studios
Active Soccer 2 DX,Xbox One,Action,53,6.9,E,The Fox Software
Adam's Venture: Origins,Xbox One,Adventure,48,6.2,E10+,Vertigo Games
Adventure Time: Finn and Jake Investigations,Xbox One,Adventure,66,5.3,E10+,Vicious Cycle
Adventures of Pip,Xbox One,Action,No score yet,tbd,E10+,Tic Toc Games
Agatha Christie's The ABC Murders,Xbox One,Adventure,66,7.3,,Microids
AIPD - Artificial Intelligence Police Department,Xbox One,Action,70,tbd,E10+,Blazing Badger
AirMech Arena,Xbox One,Simulation,No score yet,4.4,E10+,Carbon Games
Albedo: Eyes from Outer Space,Xbox One,Action Adventure,55,tbd,T,Z4g0 and Ivan Venturi Productions
Alekhine's Gun,Xbox One,Action Adventure,33,2.5,M,Maximum Games
Alien: Isolation,Xbox One,Action Adventure,78,7.8,M,Creative Assembly
Alien: Isolation - Corporate Lockdown,Xbox One,Action Adventure,No score yet,tbd,M,Creative Assembly
Alien: Isolation - Crew Expendable,Xbox One,Action Adventure,No score yet,tbd,M,Creative Assembly
Alien: Isolation - Last Survivor,Xbox One,Action Adventure,No score yet,tbd,M,Creative Assembly
Alien: Isolation - Lost Contact,Xbox One,Action Adventure,No score yet,tbd,M,Creative Assembly
Alien: Isolation - Safe Haven,Xbox One,Action Adventure,No score yet,tbd,M,Creative Assembly
Alien: Isolation - The Collection,Xbox One,Action Adventure,No score yet,tbd,,Creative Assembly
Alien: Isolation - The Trigger,Xbox One,Action Adventure,No score yet,tbd,M,Creative Assembly
Alien: Isolation - Trauma,Xbox One,Action Adventure,No score yet,tbd,M,Creative Assembly
