,rating,genre
#IDARB,E,Action
#KILLALLZOMBIES,T,Action
10 Second Ninja X,T,Action
1001 Spikes,T,Action
101 Ways to Die,T,Action
6180 the Moon,E,Action
7 Days to Die,M,Action
A Boy and His Blob,E,Action
Aaru's Awakening,E,Action
Action Henk,E,Action
Action News Heroes,T,Action
Active Soccer 2 DX,E,Action
Adam's Venture: Origins,E10+,Adventure
Adventure Time: Finn and Jake Investigations,E10+,Adventure
Agatha Christie's The ABC Murders,,Adventure
AIPD - Artificial Intelligence Police Department,E10+,Action
AirMech Arena,E10+,Simulation
Albedo: Eyes from Outer Space,T,Action Adventure
Alekhine's Gun,M,Action Adventure
Alien: Isolation,M,Action Adventure
Amazing Princess Sarah,T,Action
Among the Sleep,T,Adventure
Anarcute,E10+,Action
Angry Birds Star Wars,E,Strategy
Anima: Gate of Memories,T,Role-Playing
Anode,E,Puzzle
Another World: 20th Anniversary Edition,T,Action
APB: Reloaded,M,Massively Multiplayer
Armello,E10+,Miscellaneous
Armikrog,E10+,Adventure
Arslan: The Warriors of Legend,T,General
Assassin's Creed Chronicles,T,Miscellaneous
Assassin's Creed Chronicles: China,T,Historic
Assassin's Creed Chronicles: India,T,Action Adventure
Assassin's Creed Chronicles: Russia,T,Action Adventure
Assassin's Creed IV: Black Flag,M,Action Adventure
Assassin's Creed IV: Black Flag - Freedom Cry,M,Action Adventure
Assassin's Creed Syndicate,M,Historic
Assassin's Creed Syndicate: Jack the Ripper,M,Action Adventure
Assassin's Creed Syndicate: The Last Maharaja,,Action Adventure
Assassin's Creed Unity,M,Action Adventure
Assassin's Creed Unity: Dead Kings,M,Action Adventure
Assetto Corsa,E,Sports
Attack on Titan,M,Action
Awesomenauts Assemble!,T,Strategy
Axiom Verge,T,Action Adventure
Azkend 2: The World Beneath,E,Puzzle
Back to the Future: The Game,T,Adventure
BADLAND: Game of the Year Edition,E,Action
Bard's Gold,E,Action
Baseball Riot,E10+,Puzzle
Batman: Arkham Knight,M,General
Batman: Arkham Knight - A Matter of Family,M,Action Adventure
Batman: Return to Arkham,T,Miscellaneous
Batman: The Telltale Series,M,Action
Batman: The Telltale Series - Episode 1: Realm of Shadows,M,Adventure
Batman: The Telltale Series - Episode 2: Children of Arkham,M,Adventure
Batman: The Telltale Series - Episode 3: New World Order,,Adventure
Battle Worlds: Kronos,E10+,Strategy
Battleborn,T,Sci-Fi
Battlefield 1,M,Action
Battlefield 4,M,Action
Battlefield 4: China Rising,,Action
Battlefield 4: Dragon's Teeth,M,Action
Battlefield 4: Naval Strike,M,Action
Battlefield 4: Second Assault,M,Action
Battlefield Hardline,M,Modern
Battleship,E10+,Miscellaneous
Beach Buggy Racing,E,Action
Beatbuddy: Tale of the Guardians,E,Action
Bedlam,M,Action
Beyond Eyes,E,Action Adventure
Bike Mayhem 2,E,Sports
BioShock: The Collection,M,Action
Bladestorm: Nightmare,T,Action
BlazBlue: Chrono Phantasma Extend,T,Action
Blood Bowl 2,T,Sports
Blue Estate,M,Action
Blues and Bullets - Episode 1: The End of Peace,M,Action Adventure
Blues and Bullets - Episode 2: Shaking The Hive,,Action Adventure
Boom Ball for Kinect,E,Action
Borderlands 2,M,Action
Borderlands: The Handsome Collection,M,Miscellaneous
Bridge Constructor,E,Simulation
Broken Sword 5: The Serpent's Curse,T,Adventure
Brothers: A Tale of Two Sons,T,Action Adventure
Call of Duty: Advanced Warfare,M,Action
Call of Duty: Advanced Warfare - Ascendance,M,Action
Call of Duty: Advanced Warfare - Havoc,M,Action
Call of Duty: Advanced Warfare - Reckoning,,Action
Call of Duty: Advanced Warfare - Supremacy,,Action
Call of Duty: Black Ops III,M,Action
Call of Duty: Ghosts,M,Action
Call of Duty: Ghosts - Devastation,M,Action
Call of Duty: Ghosts - Invasion,M,Action
Call of Duty: Ghosts - Onslaught,M,Action
Carmageddon: Max Damage,M,Sports
Casey Powell Lacrosse 16,E,Sports
Cast of the Seven Godsends: Redux,T,Action
Castle Crashers Remastered,T,Action
CastleStorm: Definitive Edition,T,Strategy
Cel Damage HD,,Simulation
Chariot,E,Action
Child of Light,E10+,Action
Chivalry: Medieval Warfare,M,Action
Claire: Extended Cut,M,Adventure
Clash,E,Action
Clockwork Tales: Of Glass and Ink,T,Puzzle
Cobalt,E10+,Action
Coffin Dodgers,T,Sports
Contrast,T,Miscellaneous
Costume Quest 2,E10+,Role-Playing
Crimson Dragon,T,Action
Crimsonland,T,Action
Cubot - The Complexity of Simplicity,E,Puzzle
D/Generation HD,E10+,Puzzle
D4: Dark Dreams Don't Die,M,Action
Dance Central Spotlight,T,Action
Dangerous Golf,E,Sports
Dark Souls II: Scholar of the First Sin,T,Role-Playing
Dark Souls III,,Role-Playing
