title,platform,link
#IDARB,xbox,http://static.metacritic.com/images/products/games/5/31b242b1dd6542eb1965999f0e9b781b-98.jpg
#KILLALLZOMBIES,xbox,http://static.metacritic.com/images/products/games/1/1b02c0e802685068a1a9ff7fcaa33041-98.jpg
10 Second Ninja X,xbox,http://static.metacritic.com/images/products/games/6/a9ef2bdb734a66739d3bd311e415948a-98.jpg
1001 Spikes,xbox,http://static.metacritic.com/images/products/games/1/264f8217c6066de71689053ade7c8663-98.jpg
101 Ways to Die,xbox,http://static.metacritic.com/images/products/games/5/2f2039c1868496410bc4349cfaa65726-98.jpg
140,xbox,http://static.metacritic.com/images/products/games/8/2823200dea2362cfb14ddfb343958746-98.jpg
6180 the Moon,xbox,http://static.metacritic.com/images/products/games/1/bbc3aaf2985cfeb55c0d1c9eafad7990-98.jpg
7 Days to Die,xbox,http://static.metacritic.com/images/products/games/0/742fca8dea47cf824f9f8f8e055bfe5d-98.jpg
A Boy and His Blob,xbox,http://static.metacritic.com/images/products/games/3/99590cd55a94b3803df602db542cca2b-98.jpg
A King's Tale: Final Fantasy XV,xbox,http://static.metacritic.com/images/products/games/0/ebce70c33ed92a45b432c7e28061cc3b-98.jpg
Aaru's Awakening,xbox,http://static.metacritic.com/images/products/games/3/4ff3a36fe5416ee5fd212b8f3c79cdfa-98.jpg
Acorn Assault: Rodent Revolution,xbox,http://static.metacritic.com/images/products/games/1/dbc0c73152bf1e8bf3ed84f73393a8df-98.jpg
Action Henk,xbox,http://static.metacritic.com/images/products/games/6/291f8be84057d100f27e50d1c2d9e646-98.jpg
Action News Heroes,xbox,http://static.metacritic.com/images/products/games/8/3e0349e04868aaf7c8cddbf4ee99051b-98.jpg
Active Soccer 2 DX,xbox,http://static.metacritic.com/images/products/games/1/d880a2d44744ce0c69a6a4a5230a3670-98.jpg
Adam's Venture: Origins,xbox,http://static.metacritic.com/images/products/games/7/babd47be9ccac82f7fe18d0209684b20-98.jpg
Adventure Time: Finn and Jake Investigations,xbox,http://static.metacritic.com/images/products/games/5/31fc1be2eb75bf747867f41e1d81d72f-98.jpg
Adventures of Pip,xbox,http://static.metacritic.com/images/products/games/4/309ceb36aa3a4be41f9e4e6aa669231f-98.jpg
Agatha Christie's The ABC Murders,xbox,http://static.metacritic.com/images/products/games/1/d75c0251be55dc051589e0d492f04805-98.jpg
AIPD - Artificial Intelligence Police Department,xbox,http://static.metacritic.com/images/products/games/7/e75fcf2b5b4bf99ae4935a74aa8b454f-98.jpg
AirMech Arena,xbox,http://static.metacritic.com/images/products/games/1/1c6bfc99b2e68aed1d99078aa3def7c3-98.jpg
Albedo: Eyes from Outer Space,xbox,http://static.metacritic.com/images/products/games/4/e2f3233898d956439c2b6e04c69eb303-98.jpg
Alekhine's Gun,xbox,http://static.metacritic.com/images/products/games/3/db24a767807afd3389c82192d4930e3b-98.jpg
Alien: Isolation,xbox,http://static.metacritic.com/images/products/games/7/dfea30b247c8d4d3cda99047360ae9ef-98.jpg
Alien: Isolation - Corporate Lockdown,xbox,http://static.metacritic.com/images/products/games/7/48b53e080ed2c3a894793616063b8bd9-98.jpg
Alien: Isolation - Crew Expendable,xbox,http://static.metacritic.com/images/products/games/9/80207d1a1cf563a7a1456392ae22f610-98.jpg
Alien: Isolation - Last Survivor,xbox,http://static.metacritic.com/images/products/games/0/67ba1d5ee53961f432a4c0eb83817ef1-98.jpg
Alien: Isolation - Lost Contact,xbox,http://static.metacritic.com/images/products/games/1/b2744b6d28d999afbc183a02439571d7-98.jpg
Alien: Isolation - Safe Haven,xbox,http://static.metacritic.com/images/products/games/3/b314d14b108183c16616cf5ed9659d9a-98.jpg
Alien: Isolation - The Collection,xbox,http://static.metacritic.com/images/products/games/4/c510826644675103ba97d8c137036e0d-98.jpg
Alien: Isolation - The Trigger,xbox,http://static.metacritic.com/images/products/games/2/931c0c9a23c4108ce528161fa0901be7-98.jpg
